"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow";"Unit";"Process";"Driver_type"
"21";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";14.1856;"gC.m-2.y-1";"Fall/wind";"Passive"
"22";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";18.6496;"gC.m-2.y-1";"Fall/wind";"Passive"
"23";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";5.704;"gC.m-2.y-1";"Fall/wind";"Passive"
"24";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";5.704;"gC.m-2.y-1";"Fall/wind";"Passive"
"25";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";4.0176;"gC.m-2.y-1";"Fall/wind";"Passive"
"26";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";7.5888;"gC.m-2.y-1";"Fall/wind";"Passive"
"27";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.86;"gN.m-2.y-1";"Fall/wind";"Passive"
"28";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";3.76;"gN.m-2.y-1";"Fall/wind";"Passive"
"29";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.15;"gN.m-2.y-1";"Fall/wind";"Passive"
"30";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.15;"gN.m-2.y-1";"Fall/wind";"Passive"
"31";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.81;"gN.m-2.y-1";"Fall/wind";"Passive"
"32";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";1.53;"gN.m-2.y-1";"Fall/wind";"Passive"
"33";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.143;"gP.m-2.y-1";"Fall/wind";"Passive"
"34";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.188;"gP.m-2.y-1";"Fall/wind";"Passive"
"35";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0575;"gP.m-2.y-1";"Fall/wind";"Passive"
"36";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Agroecosystem";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0575;"gP.m-2.y-1";"Fall/wind";"Passive"
"37";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0405;"gP.m-2.y-1";"Fall/wind";"Passive"
"38";"10.1111/eff.12029";3;"Terrestrial prey inputs to streams bordered by deciduous broadleaved forests, conifer plantations and clear-cut sites in southwestern Japan: Effects on the abundance of red-spotted masu salmon";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0765;"gP.m-2.y-1";"Fall/wind";"Passive"
"39";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";13.1;"gDW.m-2.y-1";"Fall/wind";"Passive"
"40";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";16.9;"gDW.m-2.y-1";"Fall/wind";"Passive"
"41";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";15.5;"gDW.m-2.y-1";"Fall/wind";"Passive"
"42";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";20.6;"gDW.m-2.y-1";"Fall/wind";"Passive"
"43";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";6.4976;"gC.m-2.y-1";"Fall/wind";"Passive"
"44";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";8.3824;"gC.m-2.y-1";"Fall/wind";"Passive"
"45";"10.1071/MF07191";4;"Arthropod rain into tropical streams: The importance of intact riparian forest and influences on fish diets";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";7.688;"gC.m-2.y-1";"Fall/wind";"Passive"
