"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow";"Unit";"Process";"Driver_type"
"234";"10.1046/j.1365-2427.2001.00667.x";33;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.51;"gN.m-2.y-1";"Fall/wind";"Passive"
"235";"10.1046/j.1365-2427.2001.00667.x";33;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0435;"gP.m-2.y-1";"Fall/wind";"Passive"
"236";"10.1046/j.1365-2427.2001.00667.x";33;"Contribution of terrestrial invertebrates to the annual resource budget for salmonids in forest and grassland reaches of a headwater stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.0255;"gP.m-2.y-1";"Fall/wind";"Passive"
"237";"10.2307/1942301";34;"Energy Flow in Bear Brook, New Hampshire: An Integrative Approach to Stream Ecosystem Metabolism";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";240.39;"gC.m-2.y-1";"Fall/wind";"Passive"
"238";"10.1016/j.jaridenv.2013.11.016";35;"Temporal variability in insectivorous bat activity along two desert streams with contrasting patterns of prey availability";"Arid";"Stream";"Desert";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.17415;"gC.m-2.y-1";"Life-cycle";"Active"
"239";"10.1016/j.jaridenv.2013.11.016";35;"Temporal variability in insectivorous bat activity along two desert streams with contrasting patterns of prey availability";"Arid";"Stream";"Desert";"Fresh. to terr.";"Aqu. insects";"Invertebrates";1.675305;"gC.m-2.y-1";"Life-cycle";"Active"
"240";"10.1007/s10980-011-9599-x";60;"Blowing litter across a landscape: effects on ecosystem nutrient flux and implications for landscape management";"Temperate";"Forest";"Agroecosystem";"Forest-agro";"Terr. plants";"Primary producers";232.9;"gDW.m-2.y-1";"Fall/wind";"Passive"
"241";"10.1007/s10980-011-9599-x";60;"Blowing litter across a landscape: effects on ecosystem nutrient flux and implications for landscape management";"Temperate";"Forest";"Agroecosystem";"Forest-agro";"Terr. plants";"Primary producers";30.1;"gDW.m-2.y-1";"Fall/wind";"Passive"
"242";"10.1007/s10980-011-9599-x";60;"Blowing litter across a landscape: effects on ecosystem nutrient flux and implications for landscape management";"Temperate";"Forest";"Agroecosystem";"Forest-agro";"Terr. plants";"Primary producers";104.805;"gC.m-2.y-1";"Fall/wind";"Passive"
"243";"10.1007/s10980-011-9599-x";60;"Blowing litter across a landscape: effects on ecosystem nutrient flux and implications for landscape management";"Temperate";"Forest";"Agroecosystem";"Forest-agro";"Terr. plants";"Primary producers";13.545;"gC.m-2.y-1";"Fall/wind";"Passive"
"244";"10.1016/j.geoderma.2007.10.016";70;"Redistributed lacustrine detritus as a spatial subsidy of biological resources for soils in an Antarctic dry valley";"Arctic";"Lake";"Desert";"Fresh. to terr.";"DOC";"POC-DOC";0.306;"gC.m-2.y-1";"Fall/wind";"Passive"
"245";"10.1016/j.geoderma.2007.10.016";70;"Redistributed lacustrine detritus as a spatial subsidy of biological resources for soils in an Antarctic dry valley";"Arctic";"Lake";"Desert";"Fresh. to terr.";"DOC";"POC-DOC";0.032;"gN.m-2.y-1";"Fall/wind";"Passive"
"246";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.051186;"gDW.m-2.y-1";"Life-cycle";"Active"
"247";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.120127;"gDW.m-2.y-1";"Life-cycle";"Active"
"248";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.736725;"gDW.m-2.y-1";"Life-cycle";"Active"
"249";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";4.920921;"gDW.m-2.y-1";"Life-cycle";"Active"
"250";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.027488;"gDW.m-2.y-1";"Life-cycle";"Active"
"251";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.023699;"gC.m-2.y-1";"Life-cycle";"Active"
"252";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.055619;"gC.m-2.y-1";"Life-cycle";"Active"
"253";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.341104;"gC.m-2.y-1";"Life-cycle";"Active"
"254";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";2.278386;"gC.m-2.y-1";"Life-cycle";"Active"
"255";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.012727;"gC.m-2.y-1";"Life-cycle";"Active"
"256";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.005247;"gN.m-2.y-1";"Life-cycle";"Active"
"257";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.012313;"gN.m-2.y-1";"Life-cycle";"Active"
"258";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.075514;"gN.m-2.y-1";"Life-cycle";"Active"
"259";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.504394;"gN.m-2.y-1";"Life-cycle";"Active"
"260";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.002817;"gN.m-2.y-1";"Life-cycle";"Active"
"261";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.000409;"gP.m-2.y-1";"Life-cycle";"Active"
"262";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.000961;"gP.m-2.y-1";"Life-cycle";"Active"
"263";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.005894;"gP.m-2.y-1";"Life-cycle";"Active"
"264";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.039367;"gP.m-2.y-1";"Life-cycle";"Active"
"265";"10.1890/1051-0761(2001)011[1829:HIOIEP]2.0.CO/2";71;"HYDROLOGIC INFLUENCES ON INSECT EMERGENCE PRODUCTION FROM CENTRAL PLATTE RIVER WETLANDS";"Temperate";"Stream";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.00022;"gP.m-2.y-1";"Life-cycle";"Active"
"266";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.079838;"gAFDW.m-2.y-1";"Life-cycle";"Active"
"267";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.182783;"gAFDW.m-2.y-1";"Life-cycle";"Active"
"268";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.232476;"gAFDW.m-2.y-1";"Life-cycle";"Active"
"269";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.034682;"gC.m-2.y-1";"Life-cycle";"Active"
"270";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.082764;"gC.m-2.y-1";"Life-cycle";"Active"
"271";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.105265;"gC.m-2.y-1";"Life-cycle";"Active"
"272";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.009126;"gN.m-2.y-1";"Life-cycle";"Active"
"273";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.021806;"gN.m-2.y-1";"Life-cycle";"Active"
"274";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.027734;"gN.m-2.y-1";"Life-cycle";"Active"
"275";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.001477;"gP.m-2.y-1";"Life-cycle";"Active"
"276";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.003381;"gP.m-2.y-1";"Life-cycle";"Active"
"277";"10.1111/j.1365-2427.2008.02073.x";72;"Variation in the trophic basis of production and energy flow associated with emergence of larval salamander assemblages from forest ponds";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.004301;"gP.m-2.y-1";"Life-cycle";"Active"
"278";"10.1111/j.1523-1739.2006.00443.x";73;"Remarkable Amphibian Biomass and Abundance in an Isolated Wetland: Implications for Wetland Conservation";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";129.268293;"gAFDW.m-2.y-1";"Life-cycle";"Active"
"279";"10.1111/j.1523-1739.2006.00443.x";73;"Remarkable Amphibian Biomass and Abundance in an Isolated Wetland: Implications for Wetland Conservation";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";57.626676;"gC.m-2.y-1";"Life-cycle";"Active"
"280";"10.1111/j.1523-1739.2006.00443.x";73;"Remarkable Amphibian Biomass and Abundance in an Isolated Wetland: Implications for Wetland Conservation";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";14.676725;"gN.m-2.y-1";"Life-cycle";"Active"
"281";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.018308;"gDW.m-2.y-1";"Life-cycle";"Active"
"282";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.006308;"gDW.m-2.y-1";"Life-cycle";"Active"
"283";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.097026;"gDW.m-2.y-1";"Life-cycle";"Active"
"284";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.031117;"gDW.m-2.y-1";"Life-cycle";"Active"
"285";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";2.86;"gDW.m-2.y-1";"Life-cycle";"Active"
"286";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";1.38;"gDW.m-2.y-1";"Life-cycle";"Active"
"287";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.51;"gDW.m-2.y-1";"Life-cycle";"Active"
"288";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";1.16;"gDW.m-2.y-1";"Life-cycle";"Active"
"289";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.83;"gDW.m-2.y-1";"Life-cycle";"Active"
"290";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.07;"gDW.m-2.y-1";"Life-cycle";"Active"
"291";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.00829;"gC.m-2.y-1";"Life-cycle";"Active"
"292";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.002856;"gC.m-2.y-1";"Life-cycle";"Active"
"293";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.043933;"gC.m-2.y-1";"Life-cycle";"Active"
"294";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.01409;"gC.m-2.y-1";"Life-cycle";"Active"
"295";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";1.32418;"gC.m-2.y-1";"Life-cycle";"Active"
"296";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.63894;"gC.m-2.y-1";"Life-cycle";"Active"
"297";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.23613;"gC.m-2.y-1";"Life-cycle";"Active"
"298";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.53708;"gC.m-2.y-1";"Life-cycle";"Active"
"299";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.38429;"gC.m-2.y-1";"Life-cycle";"Active"
"300";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.03241;"gC.m-2.y-1";"Life-cycle";"Active"
"301";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.002184;"gN.m-2.y-1";"Life-cycle";"Active"
"302";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.000753;"gN.m-2.y-1";"Life-cycle";"Active"
"303";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.011575;"gN.m-2.y-1";"Life-cycle";"Active"
"304";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.003712;"gN.m-2.y-1";"Life-cycle";"Active"
"305";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.255112;"gN.m-2.y-1";"Life-cycle";"Active"
"306";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.123096;"gN.m-2.y-1";"Life-cycle";"Active"
"307";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.045492;"gN.m-2.y-1";"Life-cycle";"Active"
"308";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.103472;"gN.m-2.y-1";"Life-cycle";"Active"
"309";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.074036;"gN.m-2.y-1";"Life-cycle";"Active"
"310";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.006244;"gN.m-2.y-1";"Life-cycle";"Active"
"311";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.000339;"gP.m-2.y-1";"Life-cycle";"Active"
"312";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.000117;"gP.m-2.y-1";"Life-cycle";"Active"
"313";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.001795;"gP.m-2.y-1";"Life-cycle";"Active"
"314";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Lake";"Forest";"Fresh. to terr.";"Amphib.";"Vertebrates";0.000576;"gP.m-2.y-1";"Life-cycle";"Active"
"315";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.016874;"gP.m-2.y-1";"Life-cycle";"Active"
"316";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.008142;"gP.m-2.y-1";"Life-cycle";"Active"
"317";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.003009;"gP.m-2.y-1";"Life-cycle";"Active"
"318";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.006844;"gP.m-2.y-1";"Life-cycle";"Active"
"319";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.004897;"gP.m-2.y-1";"Life-cycle";"Active"
"320";"10.1007/s00442-013-2592-0";74;"Linking the evolution of habitat choice to ecosystem functioning: direct and indirect effects of pond-reproducing fire salamanders on aquatic-terrestrial subsidies.";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";0.000413;"gP.m-2.y-1";"Life-cycle";"Active"
"321";"10.1643/0045-8511(2006)6[640:DROSAM]2.0.CO/";75;"Decomposition Rates of Salamander (Ambystoma Maculatum) Life Stages and Associated Energy and Nutrient Fluxes in Ponds and Adjacent Forest in Southern Illinois";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Amphib.";"Vertebrates";1.38;"gC.m-2.y-1";"Life-cycle";"Active"
