"DOI";"Paper_ID";"Title";"Mattyp1";"Exporter_ecosyst";"Ratio";"Type_ecosyst"
"72";"10.1139/cjz-2014-0141";96;"Abundance, biomass production, nutrient content, and the possible role of terrestrial salamanders in Missouri Ozark forest ecosystems";"Small amphib.";"Forest";0.246284501036472;"Terrestrial"
"75";"10.1139/cjz-2014-0141";96;"Abundance, biomass production, nutrient content, and the possible role of terrestrial salamanders in Missouri Ozark forest ecosystems";"Small amphib.";"Lake";0.239130434772212;"Aquatic"
"78";"10.1139/cjz-2014-0141";96;"Abundance, biomass production, nutrient content, and the possible role of terrestrial salamanders in Missouri Ozark forest ecosystems";"Small amphib.";"Lake";0.217213114749647;"Aquatic"
"89";"10.1111/oik.01524";81;"Boomerang ecosystem fluxes: Organic carbon inputs from land to lakes are returned to terrestrial food webs via aquatic insects";"Terr. plants";"Forest";0.0636942675159236;"Terrestrial"
"90";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Terr. plants";"Forest";0.0392156862745098;"Terrestrial"
"93";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Terr. plants";"Forest";0.027027027027027;"Terrestrial"
"96";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.204081632653061;"Aquatic"
"99";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.213219616204691;"Aquatic"
"102";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.18450184501845;"Aquatic"
"105";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.210970464135021;"Aquatic"
"108";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.175131348511384;"Aquatic"
"111";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.217391304347826;"Aquatic"
"114";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.230414746543779;"Aquatic"
"117";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.192307692307692;"Aquatic"
"120";"10.1111/j.1365-2427.2012.02740.x";97;"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition";"Aqu. insects";"Stream";0.215982721382289;"Aquatic"
"123";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.0162074554294976;"Terrestrial"
"124";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.0413223140495868;"Terrestrial"
"125";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.0199600798403194;"Terrestrial"
"126";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.0121802679658953;"Terrestrial"
"127";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.00798084596967279;"Terrestrial"
"128";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.011001100110011;"Terrestrial"
"129";"10.1111/j.1365-2486.2008.01781.x";98;"Controls on long-term root and leaf litter decomposition in neotropical forests";"Terr. plants";"Forest";0.006635700066357;"Terrestrial"
"138";"10.1899/06-113.1";99;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Terr. plants";"Forest";0.010413846249974;"Terrestrial"
"139";"10.1899/06-113.1";99;"Within-species variation in foliar chemistry influences leaf-litter decomposition in a Utah river";"Terr. plants";"Forest";0.0111614617050249;"Terrestrial"
"144";"";100;"Recycling of marine elements trans- ported into freshwater systems by anadromous salmon";"Carcass";"Stream";0.186224489785467;"Aquatic"
"147";"";100;"Recycling of marine elements trans- ported into freshwater systems by anadromous salmon";"Carcass";"Stream";0.308641975308642;"Aquatic"
"152";"";101;"Effects of alewife spawning migrations";"Carcass";"Lake";0.181305637965948;"Aquatic"
"155";"";101;"Effects of alewife spawning migrations";"Carcass";"Lake";0.237499999988125;"Aquatic"
"158";"10.1139/F03-172";74;"Effects of the abundance of spawning sockeye salmon ( Oncorhynchus nerka ) on nutrients and algal biomass in forested streams";"Carcass";"Stream";0.310747663530347;"Aquatic"
"161";"";30;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Terr. plants";"Forest";0.0105065811122771;"Terrestrial"
"164";"";30;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Terr. plants";"Forest";0.0064041765477774;"Terrestrial"
"167";"";30;"Litterfall, litter decomposition, and flux of particulate organic material in a coastal plain stream";"Terr. plants";"Forest";0.00590844393448008;"Terrestrial"
"170";"10.1016/j.geoderma.2007.10.016";102;"Redistributed lacustrine detritus as a spatial subsidy of biological resources for soils in an Antarctic dry valley";"POC";"Lake";0.105324046280229;"Aquatic"
"171";"10.1899/07-134.1";57;"Modeling C and N flows through a stream food web: an inverse approach";"Terr. plants";"Forest";0.0348087666544363;"Terrestrial"
"172";"10.1899/07-134.1";57;"Modeling C and N flows through a stream food web: an inverse approach";"Carcass";"Forest";0.0427104722764543;"Terrestrial"
"173";"";82;"Dispersal of Terrestrial Plant Litter into a Subalpine Lake";"Terr. plants";"Forest";0.008;"Terrestrial"
"176";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Terr. plants";"Forest";0.0192678227360308;"Terrestrial"
"177";"doi:10.1016/B978-012088449-0.50005-4";58;"Organic Matter Processing in Tropical Streams";"Carcass";"Forest";0.025062656641604;"Terrestrial"
"178";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0518134715025907;"Terrestrial"
"179";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.022271714922049;"Terrestrial"
"180";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0302114803625378;"Terrestrial"
"181";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0223214285714286;"Terrestrial"
"182";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.178571428571429;"Terrestrial"
"183";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0284090909090909;"Terrestrial"
"184";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0374531835205993;"Terrestrial"
"185";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0311526479750779;"Terrestrial"
"186";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0280112044817927;"Terrestrial"
"187";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0591715976331361;"Terrestrial"
"188";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0386100386100386;"Terrestrial"
"189";"10.1002/iroh.200911173";103;"Leaf Quality of Some Tropical and Temperate Tree Species as Food Resource for Stream Shredders";"Terr. plants";"Forest";0.0492610837438424;"Terrestrial"
