"DOI";"Paper_ID";"Title";"Climate_AD";"From_ecosys";"To_ecosys";"Coupling";"Mattyp1";"Mattyp2";"Flow"
"28";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";104.7
"29";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";2.8
"30";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";197
"31";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";184.4
"32";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";185.7
"33";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";240.7
"34";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";180.2
"35";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";264.8
"36";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";201.6
"37";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";105.2
"38";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";22.8
"39";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";153.6
"40";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";80.1
"41";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";172.1
"42";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";155.1
"43";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";1.4
"44";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";149.8
"45";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";143.3
"46";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";152.1
"47";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";17.1
"48";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";91.8
"49";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";158.2
"50";"0.1007/s10750-010-0404-7";12;"Shifts in allochthonous input and autochthonous production in streams along an agricultural land-use gradient";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";145.6
"51";"";13;"Effects of resource limitation on a detrital-based ecosystem";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";441.9210526
"52";"";13;"Effects of resource limitation on a detrital-based ecosystem";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";340.6428571
"53";"10.1007/BF00258283";14;"Input and storage of benthic detritus in an Alaskan subarctic stream";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";31.25
"54";"";15;"Organic Matter Dynamics in 5 Subarctic Streams, Quebec, Canada";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";395.9
"55";"";15;"Organic Matter Dynamics in 5 Subarctic Streams, Quebec, Canada";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";151.3
"56";"";15;"Organic Matter Dynamics in 5 Subarctic Streams, Quebec, Canada";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";19.1
"57";"";15;"Organic Matter Dynamics in 5 Subarctic Streams, Quebec, Canada";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";9.9
"58";"";15;"Organic Matter Dynamics in 5 Subarctic Streams, Quebec, Canada";"Boreal";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";1.5
"59";"";16;"Hydrologic and Riparian Influences on the Import and Storage of Coarse Particulate Organic Matter in a Prairie Stream";"Temperate";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";64.59277108
"60";"";16;"Hydrologic and Riparian Influences on the Import and Storage of Coarse Particulate Organic Matter in a Prairie Stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";54.8882199
"61";"";16;"Hydrologic and Riparian Influences on the Import and Storage of Coarse Particulate Organic Matter in a Prairie Stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";209.7190476
"62";"10.1016/j.materresbull.2012.08.034";17;"Production de litiere de la ripisylve de la Garonne et apport au fleuve";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";21
"63";"";18;"Carbon flow in a tundra stream ecosystem";"Arctic";"Grassland";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";250
"64";"10.1111/j.1440-1703.2004.00678.x";19;"Prey use by web-building spiders: stable isotope analyses of trophic flow at a forest-stream ecotone";"Temperate";"Stream";"Forest";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.533391358
"65";"10.4319/lo.1976.21.2.0253";20;"Airborne litterfall as a source of organic matter in lakes";"Temperate";"Forest";"Lake";"Terr. to fresh.";"Terr. plants";"Primary producers";1.221374046
"66";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";126
"67";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";142
"68";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";164
"69";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";147.5
"70";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";143.5
"71";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";122
"72";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";199
"73";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";185.5
"74";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";286
"75";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";193
"76";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";248.5
"77";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";240
"78";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";218
"79";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";280
"80";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";234
"81";"10.1674/0003-0031-168.1.112";21;"Effects of Hemlock Mortality on Streams in the Southern Appalachian Mountains";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";248.5
"83";"10.1890/0012-9658(2003)084[0701:TIIDTL]2.0.CO/2";22;"Terrestrial invertebrate inputs determine the local abundance of stream fishes in a forested stream";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";7.617357576
"84";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";24.8
"85";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";12.4
"86";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";7.44
"87";"10.1890/14-0704.1";23;"Quantifying aquatic insect deposition from lake to land";"Arctic";"Lake";"Grassland";"Fresh. to terr.";"Aqu. insects";"Invertebrates";0.992
"88";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";5.413096
"89";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";4.091504
"90";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";3.53028
"91";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";6.408816
"92";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.118168
"93";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";0.887096
"94";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";2.17248
"95";"10.1111/j.1744-7429.2012.00896.x";24;"Importance of Terrestrial Arthropods as Subsidies in Lowland Neotropical Rain Forest Stream Ecosystems";"Tropical";"Forest";"Stream";"Terr. to fresh.";"Terr. inverteb.";"Invertebrates";7.33212
"96";"10.1111/j.1752-1688.2005.tb03777.x";25;"Organic Matter Dynamics in small streams of the Pacific Northwest";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";139.725
"97";"10.1899/12-074.1";26;"Riparian litter inputs to streams in the central Oregon Coast Range";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";177.3
"98";"10.1899/12-074.1";26;"Riparian litter inputs to streams in the central Oregon Coast Range";"Temperate";"Forest";"Stream";"Terr. to fresh.";"Terr. plants";"Primary producers";226.8
